2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"San Bernard Electric Coop, Inc",TX,Cooperative,"1,083","111,002","12,533.5",11.29
San Patricio Electric Coop Inc,TX,Cooperative,"2,467","43,298","5,989.2",13.83
Selfserve Energy Corp.,TX,Retail Power Marketer,1,"44,505","1,368.9",3.08
South Plains Electric Coop Inc,TX,Cooperative,"11,306","395,786","41,249.8",10.42
Southwest Arkansas E C C,TX,Cooperative,79,"1,252",183.7,14.67
"Southwest Texas Elec Coop, Inc",TX,Cooperative,"3,576","32,219","4,341.0",13.47
Southwestern Electric Power Co,TX,Investor Owned,"31,450","2,072,701","205,280.4",9.90
Southwestern Public Service Co,TX,Investor Owned,"58,809","3,381,322","311,550.8",9.21
"Spark Energy, LP",TX,Retail Power Marketer,720,"20,371","3,458.0",16.98
"Stream SPE, LTD",TX,Retail Power Marketer,"14,308","230,935","42,879.7",18.57
Summer Energy LLC,TX,Retail Power Marketer,"43,085","2,039,384","227,781.0",11.17
"TXU Energy Retail Co, LLC",TX,Retail Power Marketer,"108,504","2,721,232","463,093.0",17.02
"Tara Energy, LLC",TX,Retail Power Marketer,"10,225","858,428","83,116.7",9.68
Taylor Electric Coop Inc - (TX),TX,Cooperative,"2,740","79,117","10,970.9",13.87
Tenaska Power Services,TX,Retail Power Marketer,9,"163,704","15,626.4",9.55
"TerraForm Renewable Energy Services, LLC",TX,Retail Power Marketer,1,"939,575","56,043.0",5.96
"TerraForm US Energy Services, LLC",TX,Behind the Meter,2,991,67.0,6.76
Tesla Energy Ventures,TX,Retail Power Marketer,151,"126,820","10,871.6",8.57
Tesla Inc.,TX,Behind the Meter,"1,271","20,454","2,007.0",9.81
"Texas A&M, Utilities & Energy Services",TX,State,28,"35,481","3,071.0",8.66
Texas General Land Office,TX,Retail Power Marketer,259,"179,847","11,989.0",6.67
"Texas Retail Energy, LLC",TX,Retail Power Marketer,603,"1,684,185","138,798.5",8.24
Total Gas & Power North America Inc,TX,Retail Power Marketer,5,"156,259","5,943.5",3.80
"Tri-County Electric Coop, Inc (OK)",TX,Cooperative,188,"73,499","4,314.9",5.87
"Tri-County Electric Coop, Inc (TX)",TX,Cooperative,"19,947","1,153,776","128,365.5",11.13
"TriEagle Energy, L.P.",TX,Retail Power Marketer,840,"41,118","4,988.3",12.13
Trinity Valley Elec Coop Inc,TX,Cooperative,"8,341","218,539","23,967.4",10.97
"US Retailers, LLC",TX,Retail Power Marketer,"54,076","2,865,821","327,696.4",11.43
United Electric Coop Service Inc - (TX),TX,Cooperative,"17,201","541,512","67,199.0",12.41
Upshur Rural Elec Coop Corp,TX,Cooperative,"6,398","171,085","20,589.0",12.03
Varsity Energy,TX,Retail Power Marketer,34,"1,063",151.3,14.23
"Victoria Electric Coop, Inc",TX,Cooperative,"3,056","51,033","6,213.0",12.17
Weatherford Mun Utility System,TX,Municipal,"2,497","192,779","21,502.0",11.15
"Wharton County Elec Coop, Inc",TX,Cooperative,"1,108","60,493","7,168.0",11.85
Wise Electric Coop Inc,TX,Cooperative,"6,597","403,269","45,026.0",11.17
"Wolverine Alternative Investments, LLC",TX,Retail Power Marketer,"1,148","33,023","2,780.4",8.42
"Wood County Electric Coop, Inc",TX,Cooperative,"5,736","294,249","26,341.0",8.95
"XOOM Energy Texas, LLC",TX,Retail Power Marketer,"2,374","57,310","10,765.8",18.79
City of Bountiful,UT,Municipal,"1,658","88,010","10,495.3",11.93
City of Logan - (UT),UT,Municipal,"2,312","202,490","23,039.7",11.38
City of Murray - (UT),UT,Municipal,"3,238","224,319","17,805.0",7.94
City of Springville - (UT),UT,Municipal,"1,512","113,685","13,221.1",11.63
City of St George,UT,Municipal,"5,097","381,696","37,972.1",9.95
"Dixie Escalante R E A, Inc",UT,Cooperative,"3,032","231,816","16,633.3",7.18
"Empire Electric Assn, Inc",UT,Cooperative,352,"9,919","1,315.1",13.26
"Garkane Energy Coop, Inc",UT,Cooperative,"2,478","102,279","11,057.7",10.81
Lehi City Corporation,UT,Municipal,"2,713","232,986","25,790.8",11.07
Moon Lake Electric Assn Inc,UT,Cooperative,"2,781","126,929","11,130.3",8.77
"Mt Wheeler Power, Inc",UT,Cooperative,138,"2,443",252.9,10.35
Navajo Tribal Utility Authority,UT,State,242,"13,451","1,916.0",14.24
PacifiCorp,UT,Investor Owned,"100,825","11,252,182","1,038,345.8",9.23
Provo City Corp,UT,Municipal,"4,757","384,365","35,845.5",9.33
Raft Rural Elec Coop Inc,UT,Cooperative,69,"2,714",193.0,7.11
Spanish Fork City Corporation,UT,Municipal,"2,143","117,231","11,025.0",9.40
Strawberry Electric Serv Dist,UT,Political Subdivision,452,"10,455","1,674.0",16.01
Tesla Inc.,UT,Behind the Meter,4,"2,959",178.0,6.02
WAPA-- Western Area Power Administration,UT,Federal,5,"34,308","1,154.0",3.36
Wells Rural Electric Co,UT,Cooperative,204,"11,084","1,054.7",9.52
A & N Electric Coop,VA,Cooperative,"4,238","172,568","20,100.4",11.65
Appalachian Power Co,VA,Investor Owned,"81,996","3,626,187","493,540.0",13.61
Bristol Virginia Utilities,VA,Municipal,"2,849","178,798","20,643.0",11.55
Central Virginia Electric Coop,VA,Cooperative,"4,652","112,296","15,784.0",14.06
City of Danville - (VA),VA,Municipal,"5,174","282,358","30,513.3",10.81
City of Harrisonburg - (VA),VA,Municipal,"3,603","371,332","37,053.0",9.98
City of Manassas - (VA),VA,Municipal,"2,676","190,715","19,930.0",10.45
City of Salem - (VA),VA,Municipal,"2,152","96,855","14,485.9",14.96
Kentucky Utilities Co,VA,Investor Owned,"4,762","230,757","28,782.9",12.47
Mecklenburg Electric Cooperative,VA,Cooperative,"1,889","1,309,871","69,197.1",5.28
"Northern Neck Elec Coop, Inc",VA,Cooperative,"2,667","40,629","6,248.0",15.38
Northern Virginia Elec Coop,VA,Cooperative,"14,796","9,912,583","616,008.0",6.21
Powell Valley Electric Coop,VA,Cooperative,"1,817","33,596","4,236.0",12.61
Prince George Electric Coop,VA,Cooperative,"1,511","73,281","8,579.0",11.71
Rappahannock Electric Coop,VA,Cooperative,"10,884","453,437","54,652.0",12.05
Shenandoah Valley Elec Coop,VA,Cooperative,"15,465","525,096","64,563.7",12.30
"Southside Electric Coop, Inc",VA,Cooperative,"2,473","115,000","13,896.9",12.08
Tesla Inc.,VA,Behind the Meter,2,244,25.0,10.25
Virginia Electric & Power Co,VA,Investor Owned,"270,530","55,935,962","4,956,829.9",8.86
Virginia Tech Electric Service,VA,State,"1,182","266,131","37,413.4",14.06
"Ahana Renewables, LLC",VT,Behind the Meter,1,723,164.2,22.71
City of Burlington Electric - (VT),VT,Municipal,"3,972","167,696","29,791.2",17.77
Green Mountain Power Corp,VT,Investor Owned,"48,745","1,471,398","283,180.0",19.25
Greenbacker Renewable Energy Corporation,VT,Behind the Meter,25,"21,159","3,097.0",14.64
"TerraForm US Energy Services, LLC",VT,Behind the Meter,2,"2,352",632.0,26.87
"Vermont Electric Cooperative, Inc",VT,Cooperative,"5,139","133,028","24,544.0",18.45
Avista Corp,WA,Investor Owned,"27,249","2,152,148","274,894.0",12.77
Benton Rural Electric Assn,WA,Cooperative,"1,645","172,650","12,069.9",6.99
"Big Bend Electric Coop, Inc",WA,Cooperative,"2,059","124,100","10,348.3",8.34
Bonneville Power Administration,WA,Federal,7,"681,918","30,673.0",4.50
City of Centralia - (WA),WA,Municipal,"1,557","32,928","3,836.5",11.65
City of Ellensburg - (WA),WA,Municipal,"1,378","119,740","9,245.0",7.72
City of Port Angeles - (WA),WA,Municipal,"1,703","96,981","7,693.0",7.93
City of Richland - (WA),WA,Municipal,"1,821","410,500","27,712.0",6.75
City of Seattle - (WA),WA,Municipal,"52,473","4,954,390","583,327.9",11.77
City of Tacoma - (WA),WA,Municipal,"20,032","319,870","32,954.3",10.30
"Columbia Rural Elec Assn, Inc",WA,Cooperative,"1,668","81,835","8,472.8",10.35
Elmhurst Mutual Power & Light Co,WA,Cooperative,785,"47,127","3,919.3",8.32
Inland Power & Light Company,WA,Cooperative,"3,348","209,378","18,210.9",8.70
Kootenai Electric Cooperative,WA,Cooperative,4,226,24.5,10.84
Lakeview Light & Power,WA,Cooperative,"2,151","82,879","7,806.0",9.42
Modern Electric Water Company,WA,Cooperative,"1,748","122,895","8,563.9",6.97
Orcas Power & Light Coop,WA,Cooperative,"1,995","56,915","9,490.0",16.67
PUD No 1 of Benton County,WA,Political Subdivision,"6,770","564,214","39,104.9",6.93
PUD No 1 of Chelan County,WA,Political Subdivision,"6,582","487,575","19,956.2",4.09
PUD No 1 of Clallam County,WA,Political Subdivision,"3,494","174,021","16,940.2",9.73
PUD No 1 of Clark County - (WA),WA,Political Subdivision,"20,389","1,365,364","116,227.0",8.51
PUD No 1 of Cowlitz County,WA,Political Subdivision,"5,418","378,239","33,320.0",8.81
PUD No 1 of Douglas County,WA,Political Subdivision,828,"1,099,016","43,060.0",3.92
PUD No 1 of Franklin County,WA,Political Subdivision,"2,032","435,005","32,470.0",7.46
PUD No 1 of Grays Harbor County,WA,Political Subdivision,"5,686","314,970","33,836.0",10.74
PUD No 1 of Jefferson County,WA,Political Subdivision,"2,279","66,107","8,499.6",12.86
PUD No 1 of Klickitat County,WA,Political Subdivision,"2,115","112,111","11,226.0",10.01
PUD No 1 of Lewis County,WA,Political Subdivision,"5,213","190,531","16,407.4",8.61
PUD No 1 of Okanogan County,WA,Political Subdivision,"4,020","315,880","25,333.2",8.02
PUD No 1 of Pend Oreille County,WA,Political Subdivision,977,"448,506","25,804.2",5.75
PUD No 1 of Snohomish County,WA,Political Subdivision,"35,453","2,431,764","229,745.0",9.45
PUD No 2 of Grant County,WA,Political Subdivision,"8,098","3,621,318","157,723.8",4.36
PUD No 2 of Pacific County,WA,Political Subdivision,"2,063","90,423","7,993.0",8.84
PUD No 3 of Mason County,WA,Political Subdivision,"2,431","177,258","18,198.0",10.27
PacifiCorp,WA,Investor Owned,"17,383","1,558,707","157,279.4",10.09
Peninsula Light Company,WA,Cooperative,138,"77,296","6,072.3",7.86
Puget Sound Energy Inc,WA,Investor Owned,"143,261","8,625,073","1,180,702.1",13.69
Vera Irrigation District #15,WA,Political Subdivision,"1,379","78,080","6,997.0",8.96
Adams-Columbia Electric Coop,WI,Cooperative,"2,518","92,563","11,973.0",12.93
Algoma Utility Comm,WI,Municipal,395,"17,010","1,881.4",11.06
Barron Electric Coop,WI,Cooperative,222,"27,675","3,103.0",11.21
Brodhead Water & Lighting Comm,WI,Municipal,311,"13,944","1,651.7",11.85
Cedarburg Light & Water Comm,WI,Municipal,948,"48,200","5,275.1",10.94
City of Black River Falls,WI,Municipal,564,"33,861","4,075.2",12.04
City of Boscobel - (WI),WI,Municipal,333,"26,061","2,336.8",8.97
City of Columbus - (WI),WI,Municipal,444,"24,225","2,693.2",11.12
City of Cuba City,WI,Municipal,147,"9,950","1,060.2",10.66
City of Eagle River - (WI),WI,Municipal,532,"23,076","2,673.0",11.58
City of Evansville,WI,Municipal,659,"27,375","3,813.0",13.93
City of Kaukauna,WI,Municipal,"2,056","133,536","13,855.4",10.38
City of Lodi - (WI),WI,Municipal,311,"15,471","1,851.2",11.97
City of Marshfield - (WI),WI,Municipal,"1,984","87,088","8,519.0",9.78
City of Menasha - (WI),WI,Municipal,854,"55,759","5,782.1",10.37
City of New Holstein - (WI),WI,Municipal,461,"21,486","2,497.1",11.62
City of New Richmond,WI,Municipal,748,"65,940","6,522.6",9.89
City of Plymouth - (WI),WI,Municipal,"1,402","95,261","9,086.3",9.54
City of Richland Center - (WI),WI,Municipal,501,"39,754","3,665.4",9.22
City of River Falls,WI,Municipal,792,"64,077","7,278.1",11.36
City of Stoughton - (WI),WI,Municipal,"1,049","57,526","6,068.2",10.55
City of Sturgeon Bay - (WI),WI,Municipal,"1,842","79,748","8,424.2",10.56
City of Westby,WI,Municipal,221,"16,145","1,693.4",10.49
Consolidated Water Power Co,WI,Investor Owned,15,"1,433",144.4,10.08
Dahlberg Light & Power Co,WI,Investor Owned,"1,286","18,931","2,311.0",12.21
Dunn County Electric Coop,WI,Cooperative,"1,108","50,910","5,849.0",11.49
East Central Energy,WI,Cooperative,388,"6,613",959.1,14.50
Florence Utility Comm,WI,Municipal,193,"7,916","1,182.3",14.94
Hartford Electric,WI,Municipal,966,"79,832","7,554.0",9.46
Hustisford Utilities,WI,Municipal,282,"7,160",939.0,13.11
Jefferson Utilities,WI,Municipal,614,"49,595","5,229.7",10.54
Juneau Utility Comm,WI,Municipal,194,"20,928","2,079.6",9.94
Lake Mills Light & Water,WI,Municipal,456,"32,955","3,963.5",12.03
Madison Gas & Electric Co,WI,Investor Owned,"21,410","2,151,231","296,563.0",13.79
Manitowoc Public Utilities,WI,Municipal,"1,997","88,598","8,491.7",9.58
New London Electric&Water Util,WI,Municipal,636,"35,104","3,772.1",10.75
North Central Power Co Inc,WI,Investor Owned,520,"7,545","1,078.4",14.29
Northern States Power Co,WI,Investor Owned,"41,684","2,673,561","310,838.4",11.63
Northwestern Wisconsin Elec Co,WI,Investor Owned,"2,017","51,133","6,037.3",11.81
Oakdale Electric Coop,WI,Cooperative,"1,758","51,759","6,659.0",12.87
Oconomowoc Utilities,WI,Municipal,"1,400","113,253","12,484.8",11.02
Oconto Falls Water & Light Comm,WI,Municipal,310,"15,743","1,834.6",11.65
Pioneer Power and Light Co,WI,Investor Owned,224,"4,508",768.0,17.04
Polk-Burnett Electric Coop,WI,Cooperative,"1,760","53,106","6,301.0",11.86
Reedsburg Utility Comm,WI,Municipal,724,"67,758","6,953.2",10.26
Riverland Energy Cooperative,WI,Cooperative,"1,077","36,632","4,803.3",13.11
Rock Energy Cooperative,WI,Cooperative,404,"55,445","5,849.0",10.55
Scenic Rivers Energy Coop,WI,Cooperative,169,"1,258",223.3,17.75
Shawano Municipal Utilities,WI,Municipal,"1,007","11,443","1,677.5",14.66
Slinger Utilities,WI,Municipal,451,"21,120","2,472.4",11.71
Sun Prairie Utilities,WI,Municipal,"1,846","141,336","14,416.6",10.20
Superior Water and Light Co,WI,Investor Owned,"2,507","119,525","14,069.1",11.77
Two Rivers Water & Light,WI,Municipal,664,"41,643","4,389.8",10.54
Village of Mt. Horeb - (WI),WI,Municipal,552,"27,826","3,327.5",11.96
Village of Muscoda - (WI),WI,Municipal,197,"8,813","1,026.9",11.65
Village of New Glarus - (WI),WI,Municipal,205,"15,340","1,642.0",10.70
Village of Prairie Du Sac - (WI),WI,Municipal,305,"23,120","2,414.9",10.45
Village of Waunakee - (WI),WI,Municipal,855,"55,542","5,981.9",10.77
Waterloo Light & Water Comm,WI,Municipal,300,"19,824","2,567.4",12.95
Waupun Utilities,WI,Municipal,591,"39,280","4,105.3",10.45
Westfield Electric Company,WI,Investor Owned,143,"4,538",770.0,16.97
Whitehall Electric Utility,WI,Municipal,184,"20,094","1,943.2",9.67
Wisconsin Electric Power Co,WI,Investor Owned,"121,553","8,752,660","1,209,999.4",13.82
Wisconsin Power & Light Co,WI,Investor Owned,"63,281","2,354,882","302,132.0",12.83
Wisconsin Public Service Corp,WI,Investor Owned,"55,942","4,051,564","453,690.9",11.20
Wisconsin Rapids W W & L Comm,WI,Municipal,"2,167","111,031","13,716.0",12.35
Appalachian Power Co,WV,Investor Owned,"67,012","3,102,967","383,165.0",12.35
Black Diamond Power Co,WV,Investor Owned,454,"13,864","1,949.4",14.06
Monongahela Power Co,WV,Investor Owned,"56,139","3,269,443","357,066.0",10.92
The Potomac Edison Company,WV,Investor Owned,"20,170","835,967","93,349.4",11.17
Wheeling Power Co,WV,Investor Owned,"6,411","377,859","46,831.0",12.39
"Black Hills Power, Inc.",WY,Investor Owned,609,"42,058","5,222.0",12.42
Cheyenne Light Fuel & Power,WY,Investor Owned,"5,434","1,742,799","155,800.0",8.94
City of Gillette - (WY),WY,Municipal,"2,739","189,837","18,707.0",9.85
Fall River Rural Elec Coop Inc,WY,Cooperative,67,"7,134",592.0,8.30
High Plains Power Inc,WY,Cooperative,409,"41,551","4,521.0",10.88
"High West Energy, Inc",WY,Cooperative,22,"327,640","16,004.7",4.88
Lower Valley Energy Inc,WY,Cooperative,"6,028","272,075","17,218.0",6.33
Montana-Dakota Utilities Co,WY,Investor Owned,"2,804","142,155","12,888.0",9.07
NorthWestern Energy LLC - (MT),WY,Investor Owned,389,"28,331","5,533.0",19.53
PacifiCorp,WY,Investor Owned,"23,947","1,422,012","149,710.3",10.53
Powder River Energy Corp,WY,Cooperative,"7,365","716,160","64,110.9",8.95
WAPA-- Western Area Power Administration,WY,Federal,2,"32,721","1,220.7",3.73
Yampa Valley Electric Assn Inc,WY,Cooperative,189,"4,138",578.9,13.99
Adjustment 2024,AK,,"10,467","341,424","103,069.4",.
Adjustment 2024,AL,,"8,600","311,301","40,386.9",.
Adjustment 2024,AR,,"3,185","144,274","15,890.5",.
Adjustment 2024,AZ,,"7,067","430,781","51,312.0",.
Adjustment 2024,CA,,"10,384","755,502","149,818.1",.
Adjustment 2024,CO,,"14,336","535,932","67,670.4",.
Adjustment 2024,CT,,"1,963","198,652","29,691.7",.
Adjustment 2024,DE,,"2,400","95,044","14,101.8",.
Adjustment 2024,FL,,"7,702","526,384","56,622.4",.
Adjustment 2024,GA,,"18,189","1,230,237","139,573.4",.
Adjustment 2024,IA,,"29,908","1,626,214","160,675.2",.
Adjustment 2024,ID,,"4,491","287,446","20,697.8",.
Adjustment 2024,IL,,"17,241","778,332","106,435.8",.
Adjustment 2024,IN,,"19,948","852,476","108,133.4",.
Adjustment 2024,KS,,"41,128","1,513,351","187,630.8",.
Adjustment 2024,KY,,"6,419","178,961","19,786.0",.
Adjustment 2024,LA,,"6,981","354,533","39,919.4",.
Adjustment 2024,MA,,"15,050","374,823","71,146.7",.
Adjustment 2024,MD,,763,"22,179","2,182.6",.
Adjustment 2024,ME,,"1,663","48,701","6,437.0",.
Adjustment 2024,MI,,"13,168","645,330","75,734.0",.
Adjustment 2024,MN,,"37,798","2,054,626","233,228.1",.
Adjustment 2024,MO,,"32,739","1,408,924","156,184.6",.
Adjustment 2024,MS,,"7,465","261,521","34,519.2",.
Adjustment 2024,MT,,"9,287","439,457","47,922.7",.
Adjustment 2024,NC,,"24,004","1,336,610","151,295.1",.
Adjustment 2024,ND,,"4,208","304,305","28,954.9",.
Adjustment 2024,NE,,"33,348","1,294,992","138,224.0",.
Adjustment 2024,NH,,"2,430","47,171","8,417.2",.
Adjustment 2024,NJ,,"4,873","215,796","32,781.4",.
Adjustment 2024,NM,,"8,014","441,192","49,268.9",.
Adjustment 2024,NV,,"1,814","104,828","12,941.9",.
Adjustment 2024,NY,,"13,735","522,591","41,008.3",.
Adjustment 2024,OH,,"24,091","922,249","123,092.3",.
Adjustment 2024,OK,,"18,694","928,975","99,087.2",.
Adjustment 2024,OR,,"8,493","440,412","40,878.9",.
Adjustment 2024,PA,,"12,046","342,136","54,942.4",.
Adjustment 2024,SC,,"13,504","610,391","83,198.5",.
Adjustment 2024,SD,,"12,827","996,689","101,948.2",.
Adjustment 2024,TX,,"30,354","1,622,749","184,982.6",.
Adjustment 2024,UT,,"11,841","580,925","66,226.2",.
Adjustment 2024,VA,,"10,152","435,654","52,915.2",.
Adjustment 2024,VT,,"6,422","150,375","26,167.6",.
Adjustment 2024,WA,,"7,579","512,859","45,430.7",.
Adjustment 2024,WI,,"15,796","714,428","84,072.2",.
Adjustment 2024,WV,,"1,826","64,985","8,335.9",.
Adjustment 2024,WY,,"8,979","306,041","36,941.9",.
Short form utilities are aggregated in the state level adjustments,,,,,,
