2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Caney Fork Electric Coop, Inc",TN,Cooperative,"6,254","135,795","21,314.0",15.70
Carroll County - (TN),TN,Municipal,"3,225","107,426","13,035.0",12.13
"Chickasaw Electric Coop, Inc",TN,Cooperative,"3,527","180,362","20,326.0",11.27
City of Alcoa Utilities,TN,Municipal,"4,543","261,925","30,222.0",11.54
City of Bristol - (TN),TN,Municipal,"4,812","310,905","37,814.0",12.16
City of Brownsville,TN,Municipal,"1,351","57,247","6,976.0",12.19
City of Chattanooga - (TN),TN,Municipal,"24,691","2,142,926","253,847.0",11.85
City of Clarksville - (TN),TN,Municipal,"9,358","575,059","69,667.0",12.11
City of Cleveland - (TN),TN,Municipal,"4,999","376,139","44,672.0",11.88
City of Clinton - (TN),TN,Municipal,"5,106","183,352","24,259.0",13.23
City of Cookeville - (TN),TN,Municipal,"3,837","326,551","35,633.0",10.91
City of Covington - (TN),TN,Municipal,983,"93,136","10,365.0",11.13
City of Dayton - (TN),TN,Municipal,"2,356","91,097","11,635.0",12.77
City of Dickson,TN,Municipal,"8,154","252,454","31,635.0",12.53
City of Dyersburg,TN,Municipal,"2,590","138,532","15,951.0",11.51
City of Elizabethton - (TN),TN,Municipal,"3,707","162,229","18,845.0",11.62
City of Etowah,TN,Municipal,916,"27,440","3,974.0",14.48
City of Fayetteville,TN,Municipal,"2,793","125,196","16,495.0",13.18
City of Gallatin - (TN),TN,Municipal,"3,749","316,944","33,467.0",10.56
City of Greeneville - (TN),TN,Municipal,"8,163","291,839","36,709.0",12.58
City of Harriman - (TN),TN,Municipal,"1,986","63,606","9,435.0",14.83
City of Humboldt,TN,Municipal,"1,051","60,710","6,769.0",11.15
City of Jackson - (TN),TN,Municipal,"6,829","547,092","63,373.0",11.58
City of Jellico,TN,Municipal,669,"16,565","2,345.0",14.16
City of LaFollette,TN,Municipal,"3,418","171,619","19,612.0",11.43
City of Lawrenceburg,TN,Municipal,"3,754","150,115","21,164.0",14.10
City of Lenoir - (TN),TN,Municipal,"14,893","744,498","87,482.0",11.75
City of Lewisburg - (TN),TN,Municipal,"1,673","89,951","10,553.0",11.73
City of Lexington - (TN),TN,Municipal,"5,616","157,783","20,353.0",12.90
City of Memphis - (TN),TN,Municipal,"42,966","6,007,246","721,756.5",12.01
City of Milan - (TN),TN,Municipal,"1,630","62,081","7,583.0",12.21
City of Morristown - (TN),TN,Municipal,"3,021","308,118","35,193.0",11.42
City of Mt Pleasant - (TN),TN,Municipal,764,"32,733","4,531.0",13.84
City of Newbern,TN,Municipal,338,"20,925","2,276.0",10.88
City of Newport - (TN),TN,Municipal,"3,619","127,248","17,849.0",14.03
City of Oak Ridge,TN,Municipal,"2,332","305,349","36,715.0",12.02
City of Paris - (TN),TN,Municipal,"6,553","185,299","22,301.0",12.04
City of Pulaski - (TN),TN,Municipal,"2,880","107,211","14,385.0",13.42
City of Ripley - (TN),TN,Municipal,"1,555","64,821","8,516.0",13.14
City of Rockwood - (TN),TN,Municipal,"3,388","88,881","12,356.0",13.90
City of Shelbyville - (TN),TN,Municipal,"1,863","133,061","15,390.0",11.57
City of Smithville - (TN),TN,Municipal,640,"44,203","5,534.0",12.52
City of Sparta,TN,Municipal,830,"47,364","5,638.0",11.90
City of Springfield - (TN),TN,Municipal,"1,463","118,479","11,259.0",9.50
City of Sweetwater,TN,Municipal,"2,332","82,018","9,958.0",12.14
City of Trenton - (TN),TN,Municipal,506,"29,503","3,671.0",12.44
City of Union City,TN,Municipal,"1,275","86,905","10,290.0",11.84
City of Winchester - (TN),TN,Municipal,"1,539","72,813","8,749.0",12.02
Columbia Power System - (TN),TN,Municipal,"5,409","316,202","36,281.0",11.47
Cumberland Elec Member Corp,TN,Cooperative,"11,899","565,206","73,133.0",12.94
Duck River Elec Member Corp,TN,Cooperative,"13,828","525,914","70,285.0",13.36
Entergy Arkansas LLC,TN,Investor Owned,3,24,4.4,18.33
"Forked Deer Electric Coop, Inc",TN,Cooperative,"1,797","25,347","4,982.0",19.66
Fort Loudoun Electric Coop,TN,Cooperative,"5,756","145,628","19,706.0",13.53
French Broad Elec Member Corp,TN,Cooperative,76,810,116.7,14.41
Gibson Electric Members Corp,TN,Cooperative,"6,508","215,316","27,632.0",12.83
Greenbacker Renewable Energy Corporation,TN,Behind the Meter,15,"5,025",484.0,9.63
"Holston Electric Coop, Inc",TN,Cooperative,"6,698","145,281","20,856.0",14.36
Johnson City - (TN),TN,Municipal,"11,891","731,665","83,210.0",11.37
Kingsport Power Co,TN,Investor Owned,"6,136","386,067","53,303.0",13.81
Knoxville Utilities Board,TN,Municipal,"25,566","2,324,105","276,829.0",11.91
Loudon Utilities Board,TN,Municipal,"1,928","131,687","15,128.0",11.49
Maryville Utilities,TN,Municipal,"3,091","244,884","28,689.0",11.72
McMinnville Electric System,TN,Municipal,"1,659","85,186","10,580.0",12.42
Meriwether Lewis Electric Coop,TN,Cooperative,"6,430","215,638","31,657.0",14.68
Middle Tennessee E M C,TN,Cooperative,"36,886","3,173,415","363,416.0",11.45
"Mountain Electric Coop, Inc",TN,Cooperative,"3,720","75,008","10,437.0",13.91
Nashville Electric Service,TN,Municipal,"45,757","6,069,079","730,152.0",12.03
Pickwick Electric Coop,TN,Cooperative,"4,889","120,660","17,312.0",14.35
Plateau Electric Cooperative,TN,Cooperative,"3,920","132,109","17,315.0",13.11
Powell Valley Electric Coop,TN,Cooperative,"5,384","119,103","15,079.0",12.66
Sequachee Valley Electric Coop,TN,Cooperative,"6,072","270,051","33,406.0",12.37
Sevier County Electric System,TN,Municipal,"27,875","1,118,298","130,336.0",11.65
South Kentucky Rural E C C,TN,Cooperative,31,671,93.0,13.86
Southwest Tennessee E M C,TN,Cooperative,"8,602","238,284","34,189.0",14.35
Tennessee Valley Authority,TN,Federal,4,"390,077","26,751.8",6.86
Tennessee Valley Electric Coop,TN,Cooperative,"4,119","152,368","19,336.0",12.69
Town of Erwin - (TN),TN,Municipal,"1,387","53,274","7,014.0",13.17
Tri-County Elec Member Corp (TN),TN,Cooperative,"5,681","172,614","22,321.0",12.93
Tri-State Electric Member Corp,TN,Cooperative,638,"14,413","2,178.0",15.11
Tullahoma Board-Public Utils,TN,Municipal,"2,014","134,176","15,131.0",11.28
Upper Cumberland E M C,TN,Cooperative,"8,620","272,359","37,244.0",13.67
Volunteer Electric Coop,TN,Cooperative,"24,098","628,824","79,529.0",12.65
Weakley County Mun Elec Sys,TN,Municipal,"5,573","188,404","22,158.0",11.76
3000 Energy Corp,TX,Retail Power Marketer,119,"9,214",799.3,8.67
AP Holdings LLC,TX,Retail Power Marketer,"39,136","1,679,794","117,969.6",7.02
"Accent Energy Holdings, LLC",TX,Retail Power Marketer,501,"18,300","2,521.0",13.78
"Alliance Power Company, LLC.",TX,Retail Power Marketer,"2,986","128,107","9,131.5",7.13
"Ambit Energy Holdings, LLC",TX,Retail Power Marketer,"23,186","441,432","82,828.9",18.76
Amigo Energy,TX,Retail Power Marketer,"5,754","239,304","26,932.3",11.25
Ammper Power LLC,TX,Retail Power Marketer,66,"127,732","10,618.0",8.31
Atlantic Energy LLC,TX,Retail Power Marketer,53,405,51.3,12.67
Austin Energy,TX,Municipal,"54,586","5,909,072","617,209.8",10.45
"BKV-BPP Retail, LLC",TX,Retail Power Marketer,324,"7,424","1,068.8",14.40
BP Energy Retail LLC,TX,Retail Power Marketer,453,"16,891,941","741,241.0",4.39
Bailey County Elec Coop Assn,TX,Cooperative,860,"68,865","5,019.0",7.29
"Bandera Electric Coop, Inc",TX,Cooperative,"6,612","189,317","19,804.0",10.46
"Bartlett Electric Coop, Inc",TX,Cooperative,"3,726","58,796","9,764.6",16.61
"Base Texas REP, LLC",TX,Retail Power Marketer,3,20,2.3,11.50
"Big Country Electric Coop, Inc",TX,Cooperative,"3,452","255,720","24,729.2",9.67
"Bluebonnet Electric Coop, Inc",TX,Cooperative,"17,755","1,704,548","89,212.7",5.23
"Bowie-Cass Electric Coop, Inc",TX,Cooperative,"5,298","115,542","13,586.6",11.76
Brooklet Energy Distribution,TX,Retail Power Marketer,19,"2,309",177.0,7.67
Brownsville Public Utilities Board,TX,Municipal,"6,566","685,671","87,336.0",12.74
"Calpine Energy Solutions, LLC",TX,Retail Power Marketer,105,"8,110,991","483,070.5",5.96
Capital Energy PA LLC,TX,Retail Power Marketer,77,"2,380",282.2,11.86
"Central Texas Elec Coop, Inc",TX,Cooperative,"4,043","77,510","8,428.6",10.87
Champion Energy Services,TX,Retail Power Marketer,"4,187","333,586","17,664.2",5.30
