DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
Amazon AWS IAD - Willard Building 1,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 25420 Sutton Bay Building 3,Amazon AWS,35.0,Loudoun County
Amazon AWS IAD - 25410 Sutton Bay Building 2,Amazon AWS,35.0,Loudoun County
AWS Cosner Building 1,Amazon AWS,60.0,Fredericksburg City
Amazon AWS IAD - 25430 Sutton Bay Building 1,Amazon AWS,50.0,Loudoun County
Amazon IAD - Import Building 2,Amazon AWS,60.0,Loudoun County
Amazon IAD - Import Building 1,Amazon AWS,60.0,Loudoun County
Amazon IAD - Import Building 3,Amazon AWS,5.6475,Loudoun County
Amazon AWS IAD -  Smith Building 1,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD -  Smith Building 2,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD -  Smith Building 3,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Mallory Building 2,Amazon AWS,50.0,Loudoun County
Amazon AWS IAD - 4101 Westfax,Amazon AWS,10.0,Fairfax County
Amazon AWS IAD - 4100 Westfax,Amazon AWS,17.5,Fairfax County
Amazon AWS IAD - 44854 Interconnection,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Mallory Building 1,Amazon AWS,50.0,Loudoun County
Amazon AWS IAD - 20945 Loudoun,Amazon AWS,25.0,Loudoun
Amazon AWS IAD - 44858 Interconnection,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - 22520 Randolph,Amazon AWS,30.0,Loudoun County
Amazon AWS IAD - 20935 Loudoun,Amazon AWS,35.0,Loudoun
Amazon AWS IAD - 44862 Interconnection,Amazon AWS,30.0,Fairfax County
AWS IAD 230,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD -Dulles Building 2,Amazon AWS,17.5,Loudoun County
Amazon AWS IAD -Dulles Building 1,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - 22630 Dulles,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 22755 Relocation Building 2,Amazon AWS,35.0,Loudoun County
Amazon AWS IAD - 22745 Relocation Building 1,Amazon AWS,40.0,Loudoun County
Amazon AWS IAD - 45111 Loudoun Building 2,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - 45110 Loudoun Building 1,Amazon AWS,30.0,Loudoun County
Amazon AWS IAD - 21645 Charles View Building 2,Amazon AWS,55.0,Loudoun County
Amazon AWS IAD - 21641 Charles View Building 1,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 21660 Charles View Building 3,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 45210 Prologis,Amazon AWS,17.5,Loudoun County
Amazon AWS IAD - 45220 Prologis,Amazon AWS,17.5,Loudoun County
Amazon AWS IAD - 22370 Kipper,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 22420 Kipper,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD -  Severn Building 4,Amazon AWS,5.0,Loudoun County
Amazon AWS IAD -  Severn Building 3,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Severn Building 2,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - Severn Building 1,Amazon AWS,25.0,Loudoun County
Amazon AWS IAD - 21205 Atlantic Blvd,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 21195 Atlantic Blvd,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 21215 Atlantic Blvd,Amazon AWS,57.5234595959596,Loudoun County
Amazon AWS IAD - 13600 EDS Building 2,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 22945 International Building 1,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - 13600 EDS Building 3,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 13600 EDS Building 1,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 23005 International Building 3,Amazon AWS,35.0,Loudoun County
Amazon AWS IAD - 22868 International Building 2,Amazon AWS,42.5,Loudoun County
IAD 117 AWS Data Center,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 22900 Platform Building 4,Amazon AWS,35.0,Loudoun County
IAD 116 AWS Data Center,Amazon AWS,45.0,Loudoun County
Amazon AWS IAD - 22900 Platform Building 3,Amazon AWS,35.0,Loudoun County
Amazon AWS IAD - 22900 Platform Building 2,Amazon AWS,50.0,Loudoun County
Amazon AWS IAD - 22890 Platform Building 1,Amazon AWS,50.0,Loudoun County
Amazon AWS IAD - 45900 Pathfinder Building 1,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - 45930 Pathfinder Building 2,Amazon AWS,27.5,Loudoun County
Amazon AWS IAD - 45950 Pathfinder Building 3,Amazon AWS,27.5,Loudoun County
IAD4 A - Ashburn Data Center ,Centersquare,10.0,Loudoun County
IAD4 B - Ashburn Data Center,Centersquare,10.0,Loudoun County
IAD3 Dulles Data Center ,Centersquare,4.0,Loudoun County
IAD2 B - Sterling Data Center ,Centersquare,4.0,Loudoun County
IAD2 A - Sterling Data Center ,Centersquare,16.0,Loudoun County
IAD1 B -  Sterling Data Center Campus,Centersquare,9.0,Fairfax County
IAD1 A -  Sterling Data Center Campus,Centersquare,9.0,Loudoun County
IAD1 C -  Sterling Data Center Campus,Centersquare,14.0,Loudoun County
MCC1 Northern Virginia,CloudHQ,55.0,Prince William County
