2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Holy Cross Electric Assn, Inc",CO,Cooperative,"49,982","689,825","83,039.0",12.04
K C Electric Association,CO,Cooperative,"3,404","40,943","5,361.1",13.09
"La Plata Electric Assn, Inc",CO,Cooperative,"39,931","316,525","52,878.0",16.71
Moon Lake Electric Assn Inc,CO,Cooperative,"1,526","15,530","1,452.6",9.35
Morgan County Rural Elec Assn,CO,Cooperative,"5,825","71,098","10,218.9",14.37
"Mountain Parks Electric, Inc",CO,Cooperative,"19,183","171,905","27,476.0",15.98
"Mountain View Elec Assn, Inc",CO,Cooperative,"59,789","643,841","99,901.3",15.52
"Palmetto Solar, LLC",CO,Behind the Meter,59,"2,198",339.5,15.45
"Poudre Valley REA, Inc",CO,Cooperative,"49,587","526,321","64,284.2",12.21
Public Service Co of Colorado,CO,Investor Owned,"1,365,053","9,826,647","1,478,540.7",15.05
"San Isabel Electric Assn, Inc",CO,Cooperative,"23,289","182,662","32,484.1",17.78
"San Luis Valley R E C, Inc",CO,Cooperative,"9,115","70,637","12,986.0",18.38
"San Miguel Power Assn, Inc",CO,Cooperative,"12,154","118,032","19,263.8",16.32
Southeast Colorado Power Assn,CO,Cooperative,"8,148","71,970","12,390.0",17.22
Southwestern Electric Coop Inc - (NM),CO,Cooperative,5,101,20.1,19.90
Spruce Finance,CO,Behind the Meter,"1,051","8,930",827.4,9.27
"SunPower Capital, LLC",CO,Behind the Meter,"1,261","3,746",928.4,24.78
Sunnova,CO,Behind the Meter,"5,760","22,689","3,523.1",15.53
Sunrun Inc.,CO,Behind the Meter,"8,558","68,284","10,843.7",15.88
Tesla Inc.,CO,Behind the Meter,"12,912","76,603","8,912.0",11.63
"Tri-County Electric Coop, Inc (OK)",CO,Cooperative,9,73,11.7,16.03
"United Power, Inc",CO,Cooperative,"101,502","987,339","155,543.0",15.75
"Wheatland Electric Coop, Inc",CO,Cooperative,31,147,27.0,18.37
"White River Electric Assn, Inc",CO,Cooperative,"2,633","22,111","3,047.8",13.78
Y-W Electric Assn Inc,CO,Cooperative,"4,876","45,595","7,130.0",15.64
Yampa Valley Electric Assn Inc,CO,Cooperative,"23,253","241,331","40,452.4",16.76
Bozrah Light & Power Company,CT,Municipal,"2,434","24,294","4,696.0",19.33
City of Norwich - (CT),CT,Municipal,"18,870","139,392","31,757.3",22.78
Connecticut Light & Power Co,CT,Investor Owned,"924,132","7,278,426","2,074,900.0",28.51
"EverBright, LLC",CT,Behind the Meter,489,"3,955",704.3,17.81
Groton Dept of Utilities - (CT),CT,Municipal,"12,284","105,354","19,705.7",18.70
"Palmetto Solar, LLC",CT,Behind the Meter,46,813,228.4,28.09
Spruce Finance,CT,Behind the Meter,"1,848","14,022","2,289.1",16.33
"SunPower Capital, LLC",CT,Behind the Meter,"3,506","37,514","6,762.0",18.03
Sunnova,CT,Behind the Meter,"20,437","172,355","36,604.1",21.24
Sunrun Inc.,CT,Behind the Meter,"17,293","132,356","32,238.9",24.36
Tesla Inc.,CT,Behind the Meter,"8,450","48,199","8,247.0",17.11
Town of Wallingford - (CT),CT,Municipal,"21,405","212,760","33,299.9",15.65
United Illuminating Co,CT,Investor Owned,"256,302","1,668,612","568,040.7",34.04
Potomac Electric Power Co,DC,Investor Owned,"285,878","2,031,842","336,777.9",16.58
Sunnova,DC,Behind the Meter,64,506,60.4,11.94
Sunrun Inc.,DC,Behind the Meter,52,304,39.4,12.96
Tesla Inc.,DC,Behind the Meter,506,"1,708",211.0,12.35
City of Dover - (DE),DE,Municipal,"21,601","211,090","32,754.0",15.52
City of Milford - (DE),DE,Municipal,"7,169","79,966","12,128.9",15.17
City of Newark - (DE),DE,Municipal,"11,888","98,785","18,762.0",18.99
Delaware Electric Cooperative,DE,Cooperative,"104,839","1,297,535","184,505.0",14.22
Delmarva Power,DE,Investor Owned,"275,018","2,916,139","502,490.3",17.23
Sunnova,DE,Behind the Meter,19,207,37.5,18.12
Sunrun Inc.,DE,Behind the Meter,390,"2,906",377.2,12.98
Tesla Inc.,DE,Behind the Meter,"3,327","25,818","4,135.0",16.02
Town of Middletown - (DE),DE,Municipal,"9,071","100,606","17,226.8",17.12
Beaches Energy Services,FL,Municipal,"30,358","442,908","54,832.0",12.38
"Central Florida Elec Coop, Inc",FL,Cooperative,"32,771","412,201","56,144.0",13.62
Central Florida Tourism Oversight District,FL,Municipal,9,122,14.0,11.48
"Choctawhatche Elec Coop, Inc",FL,Cooperative,"57,070","829,925","109,837.3",13.23
City of Bartow - (FL),FL,Municipal,"11,613","157,492","17,056.5",10.83
City of Homestead - (FL),FL,Municipal,"26,052","404,627","49,731.3",12.29
City of Lake Worth Beach - (FL),FL,Municipal,"24,475","301,807","38,018.9",12.60
City of Lakeland - (FL),FL,Municipal,"121,604","1,714,227","195,448.0",11.40
City of Leesburg - (FL),FL,Municipal,"24,482","284,182","36,733.8",12.93
City of Ocala,FL,Municipal,"45,171","565,310","68,469.2",12.11
City of Tallahassee - (FL),FL,Municipal,"106,946","1,189,213","161,682.8",13.60
City of Winter Park - (FL),FL,Municipal,"12,137","192,053","26,182.0",13.63
"Clay Electric Cooperative, Inc - (FL)",FL,Cooperative,"171,179","2,495,611","326,753.7",13.09
"Duke Energy Florida, LLC",FL,Investor Owned,"1,793,067","22,042,842","3,665,224.1",16.63
"Escambia River Elec Coop, Inc",FL,Cooperative,"11,914","179,919","27,476.0",15.27
"Florida Keys El Coop Assn, Inc",FL,Cooperative,"28,815","463,854","60,035.0",12.94
Florida Power & Light Co,FL,Investor Owned,"5,236,277","70,926,801","9,720,848.0",13.71
Florida Public Utilities Co,FL,Investor Owned,"25,560","310,576","55,947.0",18.01
Fort Pierce Utilities Authority,FL,Municipal,"24,444","256,414","32,351.0",12.62
Gainesville Regional Utilities,FL,Municipal,"92,968","869,643","129,307.3",14.87
"Glades Electric Coop, Inc",FL,Cooperative,"14,456","190,738","31,637.0",16.59
"Gulf Coast Electric Coop, Inc",FL,Cooperative,"21,220","303,810","44,571.7",14.67
JEA,FL,Municipal,"470,564","6,021,884","748,256.0",12.43
Kissimmee Utility Authority,FL,Municipal,"79,281","1,069,507","141,365.0",13.22
"Lee County Electric Coop, Inc - (FL)",FL,Cooperative,"231,142","3,264,831","441,966.2",13.54
New Smyrna Beach City of,FL,Municipal,"27,879","319,280","34,872.0",10.92
Okefenoke Rural El Member Corp,FL,Cooperative,"11,088","170,669","23,803.6",13.95
Orlando Utilities Comm,FL,Municipal,"248,683","2,935,918","447,347.4",15.24
"Palmetto Solar, LLC",FL,Behind the Meter,347,"23,065","2,976.1",12.90
"Peace River Electric Coop, Inc",FL,Cooperative,"57,589","814,932","100,621.0",12.35
"Sumter Electric Coop, Inc",FL,Cooperative,"228,855","2,808,084","367,528.6",13.09
Sunnova,FL,Behind the Meter,"16,430","149,640","31,961.3",21.36
Sunrun Inc.,FL,Behind the Meter,"14,397","185,461","31,798.2",17.15
Suwannee Valley Elec Coop Inc,FL,Cooperative,"25,934","344,357","51,648.0",15.00
"Talquin Electric Coop, Inc",FL,Cooperative,"53,881","727,858","108,056.2",14.85
Tampa Electric Co,FL,Investor Owned,"757,280","10,269,013","1,506,555.8",14.67
Tesla Inc.,FL,Behind the Meter,703,"3,704",174.6,4.71
"Tri-County Electric Coop, Inc (FL)",FL,Cooperative,"18,028","188,475","33,198.3",17.61
"Utility Board of the City of Key West, F",FL,Municipal,"27,264","394,917","55,404.0",14.03
"West Florida El Coop Assn, Inc",FL,Cooperative,"26,357","339,027","55,465.0",16.36
Withlacoochee River Elec Coop,FL,Cooperative,"229,375","3,369,193","416,094.5",12.35
Albany Utility Board,GA,Municipal,"29,517","344,628","44,345.0",12.87
Altamaha Electric Member Corp,GA,Cooperative,"19,628","236,866","37,983.5",16.04
Amicalola Electric Member Corp,GA,Cooperative,"50,337","748,163","92,851.8",12.41
Blue Ridge Mountain EMC - (GA),GA,Cooperative,"30,599","341,281","47,854.0",14.02
Canoochee Electric Member Corp,GA,Cooperative,"24,180","326,992","45,716.1",13.98
Carroll Electric Member Corp - (GA),GA,Cooperative,"53,299","767,238","102,625.0",13.38
Central Georgia El Member Corp,GA,Cooperative,"61,155","939,245","114,965.0",12.24
City of Buford,GA,Municipal,"2,985","39,567","5,277.0",13.34
City of Calhoun - (GA),GA,Municipal,"4,944","50,099","7,020.6",14.01
City of Cartersville - (GA),GA,Municipal,"6,711","86,931","12,657.8",14.56
City of Chattanooga - (TN),GA,Municipal,"10,366","146,590","18,023.0",12.29
City of Chickamauga,GA,Municipal,831,"10,264","1,398.0",13.62
City of College Park - (GA),GA,Municipal,"7,924","77,270","9,923.0",12.84
City of Covington - (GA),GA,Municipal,"12,459","159,780","23,283.0",14.57
City of Douglas,GA,Municipal,"4,124","58,084","5,597.8",9.64
City of East Point - (GA),GA,Municipal,"16,365","162,306","19,424.2",11.97
City of Griffin - (GA),GA,Municipal,"13,594","161,378","24,211.7",15.00
City of La Grange - (GA),GA,Municipal,"12,347","143,475","18,036.0",12.57
City of Lawrenceville - (GA),GA,Municipal,"10,667","109,381","17,255.1",15.78
City of Marietta - (GA),GA,Municipal,"36,273","361,258","43,110.7",11.93
City of Sandersville - (GA),GA,Municipal,"2,234","26,880","2,929.7",10.90
City of Sylvania - (GA),GA,Municipal,"1,913","22,086","2,845.4",12.88
City of Thomasville - (GA),GA,Municipal,"14,025","193,931","26,285.9",13.55
City of Washington - (GA),GA,Municipal,"1,856","19,312","3,110.7",16.11
Coastal Electric Member Corp - (GA),GA,Cooperative,"20,559","310,505","43,271.0",13.94
Cobb Electric Membership Corp,GA,Cooperative,"200,601","2,709,931","309,076.8",11.41
Colquitt Electric Membership Corp,GA,Cooperative,"65,743","913,680","120,594.7",13.20
Coweta-Fayette El Member Corp,GA,Cooperative,"83,001","1,229,803","157,461.4",12.80
Crisp County Power Comm,GA,Political Subdivision,"9,206","145,602","21,172.7",14.54
Dalton Utilities,GA,Municipal,"13,482","156,755","15,788.0",10.07
Diverse Power Incorporated,GA,Cooperative,"31,998","474,979","79,573.7",16.75
Excelsior Electric Member Corp,GA,Cooperative,"23,422","333,979","45,450.0",13.61
Flint Electric Membership Corp,GA,Cooperative,"83,739","1,267,065","171,879.6",13.57
Georgia Power Co,GA,Investor Owned,"2,452,488","29,113,358","4,509,930.6",15.49
Grady Electric Membership Corp,GA,Cooperative,"19,283","260,280","38,617.3",14.84
GreyStone Power Corporation,GA,Cooperative,"139,028","1,979,465","241,837.7",12.22
Habersham Electric Membership Corp,GA,Cooperative,"35,011","444,362","62,308.3",14.02
Hart Electric Member Corp,GA,Cooperative,"30,297","415,155","54,598.0",13.15
Haywood Electric Member Corp,GA,Cooperative,433,"3,635",630.0,17.33
Jackson Electric Member Corp - (GA),GA,Cooperative,"239,558","3,476,293","395,695.3",11.38
Jefferson Electric Member Corp,GA,Cooperative,"34,490","455,869","60,484.0",13.27
Mitchell Electric Member Corp,GA,Cooperative,"21,293","298,974","47,853.8",16.01
"Newnan Wtr, Sewer & Light Comm",GA,Municipal,"9,209","99,916","13,189.0",13.20
North Georgia Elec Member Corp,GA,Cooperative,"90,182","1,454,917","177,226.0",12.18
Oconee Electric Member Corp,GA,Cooperative,"10,743","147,116","23,115.3",15.71
Okefenoke Rural El Member Corp,GA,Cooperative,"27,736","383,096","54,544.3",14.24
"Palmetto Solar, LLC",GA,Behind the Meter,32,"1,354",171.6,12.67
Planters Electric Member Corp,GA,Cooperative,"16,385","222,583","32,351.0",14.53
Rayle Electric Membership Corp,GA,Cooperative,"16,369","218,845","31,555.0",14.42
Satilla Rural Elec Member Corporation,GA,Cooperative,"54,115","744,068","104,060.1",13.99
Sawnee Electric Membership Corporation,GA,Cooperative,"181,600","2,573,235","296,924.7",11.54
Snapping Shoals El Member Corp,GA,Cooperative,"105,253","1,625,834","201,056.0",12.37
Southern Rivers Energy,GA,Cooperative,"20,411","309,412","50,769.0",16.41
Sumter Electric Member Corp,GA,Cooperative,"15,049","233,692","33,043.4",14.14
Sunnova,GA,Behind the Meter,10,55,10.5,19.09
Three Notch Elec Member Corp,GA,Cooperative,"13,695","148,849","25,210.9",16.94
Tri-County Elec Member Corp (GA),GA,Cooperative,"21,154","298,324","44,242.0",14.83
Tri-State Electric Member Corp,GA,Cooperative,"13,123","160,930","22,572.0",14.03
Walton Electric Member Corp,GA,Cooperative,"131,915","1,964,784","255,174.7",12.99
Washington Elec Member Corp,GA,Cooperative,"15,200","191,835","28,160.4",14.68
Hawaii Electric Light Co Inc,HI,Investor Owned,"78,386","427,915","206,725.6",48.31
Hawaiian Electric Co Inc,HI,Investor Owned,"276,206","1,505,403","645,375.5",42.87
Kauai Island Utility Cooperative,HI,Cooperative,"30,109","193,728","79,983.4",41.29
Maui Electric Co Ltd,HI,Investor Owned,"61,811","362,096","159,187.6",43.96
Spruce Finance,HI,Behind the Meter,481,"4,902",598.7,12.21
"SunPower Capital, LLC",HI,Behind the Meter,"1,116","4,145","2,469.2",59.57
Sunnova,HI,Behind the Meter,849,"8,799","3,145.6",35.75
Sunrun Inc.,HI,Behind the Meter,"15,122","126,034","35,719.9",28.34
Tesla Inc.,HI,Behind the Meter,"2,371","18,572","3,372.0",18.16
Access Energy Coop,IA,Cooperative,"8,850","112,566","16,832.6",14.95
Amana Society Service Co,IA,Investor Owned,709,"6,833","1,061.0",15.53
Board of Water Electric & Communications,IA,Municipal,"10,123","98,119","12,394.2",12.63
Butler County Rural Elec Coop - (IA),IA,Cooperative,"3,898","63,458","9,793.6",15.43
Cedar Falls Utilities,IA,Municipal,"17,772","167,715","17,475.7",10.42
City of Ames - (IA),IA,Municipal,"24,979","170,973","20,680.5",12.10
City of Independence - (IA),IA,Municipal,"2,719","21,131","2,919.6",13.82
City of Maquoketa - (IA),IA,Municipal,"2,805","23,411","3,079.1",13.15
City of Preston,IA,Municipal,521,"3,749",577.1,15.39
Consumers Energy Coop - (IA),IA,Cooperative,"6,922","84,659","12,702.0",15.00
East-Central Iowa Rural Elec Coop,IA,Cooperative,"7,368","119,049","15,812.0",13.28
Eastern Iowa Light & Power Coop,IA,Cooperative,"20,749","282,368","38,280.5",13.56
Federated Rural Electric Assn,IA,Cooperative,53,829,98.0,11.82
Freeborn Mower Electric Cooperative,IA,Cooperative,6,100,17.0,17.00
Heartland Power Coop,IA,Cooperative,"4,351","79,791","10,111.4",12.67
Interstate Power and Light Co,IA,Investor Owned,"417,153","3,573,253","639,738.0",17.90
Iowa Lakes Electric Coop,IA,Cooperative,"9,714","168,339","23,197.5",13.78
Linn County REC,IA,Cooperative,"30,323","309,400","44,026.0",14.23
Maquoketa Valley Rrl Elec Coop,IA,Cooperative,"11,051","140,384","19,314.4",13.76
MiEnergy Cooperative,IA,Cooperative,"6,006","70,345","11,892.9",16.91
MidAmerican Energy Co,IA,Investor Owned,"632,436","6,006,862","661,484.7",11.01
Midland Power Coop,IA,Cooperative,"11,939","201,590","27,419.0",13.60
North West Rural Electric Coop,IA,Cooperative,"9,400","247,896","22,965.9",9.26
Prairie Energy Coop,IA,Cooperative,"3,440","52,787","7,568.9",14.34
Avista Corp,ID,Investor Owned,"128,226","1,356,359","157,650.0",11.62
City of Idaho Falls - (ID),ID,Municipal,"28,142","321,312","29,714.7",9.25
Fall River Rural Elec Coop Inc,ID,Cooperative,"15,433","215,953","23,986.0",11.11
Idaho Power Co,ID,Investor Owned,"525,751","5,777,153","679,350.0",11.76
Inland Power & Light Company,ID,Cooperative,"2,115","36,933","3,293.4",8.92
Kootenai Electric Cooperative,ID,Cooperative,"30,378","412,201","50,310.0",12.21
Lower Valley Energy Inc,ID,Cooperative,"1,636","20,994","1,518.0",7.23
"Missoula Electric Coop, Inc",ID,Cooperative,46,694,69.4,10.00
"Northern Lights, Inc",ID,Cooperative,"18,511","240,558","27,644.0",11.49
PacifiCorp,ID,Investor Owned,"74,170","800,174","96,864.6",12.11
Raft Rural Elec Coop Inc,ID,Cooperative,"1,391","24,920","2,288.0",9.18
Salmon River Electric Coop Inc,ID,Cooperative,"2,383","37,927","3,412.0",9.00
Sunnova,ID,Behind the Meter,5,24,5.9,24.58
"United Electric Co-op, Inc - (ID)",ID,Cooperative,"5,100","100,760","7,952.8",7.89
Ameren Illinois Company,IL,Investor Owned,"520,498","5,330,247","813,235.5",15.26
City of Batavia - (IL),IL,Municipal,"10,020","87,561","12,330.0",14.08
City of Geneva- (IL),IL,Municipal,"8,691","80,550","8,886.0",11.03
City of Naperville - (IL),IL,Municipal,"56,117","512,938","66,567.1",12.98
City of Peru - (IL),IL,Municipal,"4,993","37,429","4,491.0",12.00
City of Springfield - (IL),IL,Municipal,"59,621","593,685","70,964.8",11.95
City of St Charles - (IL),IL,Municipal,"14,181","113,684","17,468.0",15.37
Coles-Moultrie Electric Coop,IL,Cooperative,"8,456","113,570","19,469.0",17.14
Commonwealth Edison Co,IL,Investor Owned,"2,922,223","20,446,776","3,111,162.4",15.22
Corn Belt Energy Corporation,IL,Cooperative,"34,710","380,839","60,011.3",15.76
Eastern Illinois Elec Coop,IL,Cooperative,"11,115","165,027","28,218.0",17.10
Egyptian Electric Coop Assn,IL,Cooperative,"13,707","185,504","28,817.4",15.53
"EverBright, LLC",IL,Behind the Meter,"3,246","30,153","3,636.2",12.06
"Jo-Carroll Energy, Inc",IL,Cooperative,"17,227","146,432","28,977.0",19.79
Menard Electric Coop,IL,Cooperative,"9,048","107,126","19,338.2",18.05
MidAmerican Energy Co,IL,Investor Owned,"73,564","628,574","62,812.8",9.99
Mt Carmel Public Utility Co,IL,Investor Owned,"4,327","45,617","8,725.0",19.13
Norris Electric Coop,IL,Cooperative,"18,074","244,675","36,904.0",15.08
"Palmetto Solar, LLC",IL,Behind the Meter,67,457,137.1,30.00
Rochelle Municipal Utilities,IL,Municipal,"5,854","46,606","6,160.0",13.22
Rock Energy Cooperative,IL,Cooperative,"9,339","83,600","12,511.0",14.97
Scenic Rivers Energy Coop,IL,Cooperative,12,139,18.5,13.31
"Shelby Electric Coop, Inc - (IL)",IL,Cooperative,"9,871","122,528","22,822.4",18.63
"Southeastern IL Elec Coop, Inc",IL,Cooperative,"22,731","312,673","45,231.0",14.47
Southwestern Electric Coop Inc - (IL),IL,Cooperative,"24,822","334,854","45,817.6",13.68
Sunnova,IL,Behind the Meter,"1,955","20,390","4,200.5",20.60
Sunrun Inc.,IL,Behind the Meter,"31,729","267,794","40,319.7",15.06
Tesla Inc.,IL,Behind the Meter,4,22,2.1,9.55
"Tri-County Electric Coop, Inc (IL)",IL,Cooperative,"16,197","229,718","36,852.6",16.04
Wayne-White Counties Elec Coop,IL,Cooperative,"11,957","150,579","24,960.2",16.58
AES Indiana,IN,Investor Owned,"469,499","5,048,596","694,095.2",13.75
Bartholomew County Rural E M C,IN,Cooperative,"11,427","155,960","22,940.4",14.71
Boone County Rural EMC,IN,Cooperative,"18,371","263,418","43,497.0",16.51
Carroll-White REMC,IN,Cooperative,"14,807","189,289","28,268.0",14.93
City of Anderson - (IN),IN,Municipal,"29,533","300,134","38,475.9",12.82
City of Auburn - (IN),IN,Municipal,"6,813","64,148","5,464.4",8.52
City of Bluffton - (IN),IN,Municipal,"5,007","48,379","5,023.0",10.38
City of Frankfort - (IN),IN,Municipal,"7,820","74,481","8,966.0",12.04
City of Greenfield - (IN),IN,Municipal,"11,858","109,792","14,420.0",13.13
City of Jasper - (IN),IN,Municipal,"6,568","71,530","8,002.2",11.19
City of Lebanon - (IN),IN,Municipal,"8,076","76,278","9,591.2",12.57
City of Logansport - (IN),IN,Municipal,"11,350","101,243","11,069.0",10.93
City of Mishawaka,IN,Municipal,"25,071","180,338","18,613.7",10.32
City of Peru - (IN),IN,Municipal,"9,062","88,532","12,168.0",13.74
City of Richmond - (IN),IN,Municipal,"16,310","179,056","23,498.3",13.12
Clark County Rural E M C - (IN),IN,Cooperative,"27,103","390,573","57,146.4",14.63
"Crawfordsville Elec, Lgt & Pwr",IN,Municipal,"8,615","84,808","11,550.6",13.62
Daviess Martin County R E M C,IN,Cooperative,"7,975","121,109","18,346.0",15.15
Decatur County Rural E M C,IN,Cooperative,"8,088","113,442","17,960.6",15.83
Dubois Rural Electric Coop Inc,IN,Cooperative,"13,419","168,200","24,189.0",14.38
"Duke Energy Indiana, LLC",IN,Investor Owned,"796,265","9,014,130","1,149,061.0",12.75
Harrison County Rural E M C,IN,Cooperative,"23,221","351,945","48,864.1",13.88
Heartland REMC,IN,Cooperative,"18,013","258,329","38,024.0",14.72
Hendricks County Rural E M C,IN,Cooperative,"37,638","522,062","72,234.4",13.84
Indiana Michigan Power Co,IN,Investor Owned,"422,062","4,191,016","683,413.4",16.31
Jackson County Rural E M C - (IN),IN,Cooperative,"24,215","363,693","55,727.0",15.32
Jasper County Rural E M C,IN,Cooperative,"7,745","102,072","15,658.4",15.34
Johnson County Rural E M C,IN,Cooperative,"28,279","368,238","50,787.7",13.79
Kankakee Valley Rural E M C,IN,Cooperative,"18,994","218,432","33,202.9",15.20
Kosciusko County Rural E M C,IN,Cooperative,"17,435","187,587","24,889.6",13.27
Midwest Energy Cooperative - (MI),IN,Cooperative,310,"3,806",729.3,19.16
NineStar Connect,IN,Cooperative,"17,770","263,797","41,374.0",15.68
Noble County R E M C,IN,Cooperative,"10,986","132,778","17,971.4",13.53
Northeastern Rural E M C,IN,Cooperative,"30,610","366,913","54,890.0",14.96
Northern Indiana Pub Serv Co,IN,Investor Owned,"430,648","3,404,882","649,930.9",19.09
"Paulding-Putman Elec Coop, Inc",IN,Cooperative,"3,851","50,892","7,106.4",13.96
RushShelby Energy,IN,Cooperative,"14,761","203,882","34,432.0",16.89
South Central Indiana REMC,IN,Cooperative,"34,901","450,962","79,935.0",17.73
Southeastern Indiana R E M C,IN,Cooperative,"26,172","355,150","54,061.7",15.22
Southern Indiana Gas & Elec Co,IN,Investor Owned,"133,795","1,423,253","249,368.5",17.52
"Southern Indiana R E C, Inc",IN,Cooperative,"8,936","104,163","16,381.0",15.73
Sunnova,IN,Behind the Meter,2,18,4.4,24.44
Tipmont Rural Elec Member Corp,IN,Cooperative,"28,885","332,963","53,519.9",16.07
Utilities Dist-Western IN REMC,IN,Cooperative,"18,898","241,346","38,859.3",16.10
Western Indiana Energy REMC,IN,Cooperative,"15,017","211,398","30,415.4",14.39
Whitewater Valley Rural EMC,IN,Cooperative,"11,998","161,691","25,598.0",15.83
"Alfalfa Electric Coop, Inc",KS,Cooperative,205,"3,583",373.0,10.41
CMS Electric Coop Inc,KS,Cooperative,"3,198","26,157","4,896.8",18.72
City of Chanute,KS,Municipal,"4,556","43,631","5,622.0",12.89
City of Coffeyville - (KS),KS,Municipal,"4,723","49,147","5,667.5",11.53
City of Garden City,KS,Municipal,"10,449","86,418","13,693.0",15.85
City of Kansas City - (KS),KS,Municipal,"61,475","572,473","87,905.0",15.36
City of McPherson - (KS),KS,Municipal,"7,432","91,983","8,264.7",8.99
City of Winfield - (KS),KS,Municipal,"6,284","61,557","8,510.0",13.82
Empire District Electric Co,KS,Investor Owned,"8,412","103,256","13,777.4",13.34
"Evergy Kansas Central, Inc",KS,Investor Owned,"341,806","3,468,990","495,679.0",14.29
"Evergy Kansas South, Inc",KS,Investor Owned,"302,508","3,181,627","453,478.9",14.25
Evergy Metro,KS,Investor Owned,"244,555","2,854,073","374,727.3",13.13
FreeState Electric Coop,KS,Cooperative,"17,514","222,322","36,491.0",16.41
Midwest Energy Inc - (KS),KS,Cooperative,"29,832","317,121","36,288.3",11.44
"Palmetto Solar, LLC",KS,Behind the Meter,7,209,36.2,17.32
"Pioneer Electric Coop, Inc - (KS)",KS,Cooperative,"5,031","62,283","6,967.0",11.19
Prairie Land Electric Coop Inc,KS,Cooperative,"13,273","131,438","18,782.2",14.29
Southern Pioneer Electric Company,KS,Cooperative,"12,602","117,680","18,669.0",15.86
"Tri-County Electric Coop, Inc (OK)",KS,Cooperative,"1,079","8,342","1,354.0",16.23
Victory Electric Coop Assn Inc,KS,Cooperative,"14,243","145,060","17,211.0",11.86
Western Coop Electric Assn Inc,KS,Cooperative,"5,799","59,961","8,498.3",14.17
"Wheatland Electric Coop, Inc",KS,Cooperative,"20,118","211,767","29,574.0",13.97
Big Sandy Rural Elec Coop Corp,KY,Cooperative,"11,574","151,557","20,742.0",13.69
Blue Grass Energy Coop Corp,KY,Cooperative,"60,641","849,399","104,665.0",12.32
City of Benton - (KY),KY,Municipal,"1,889","23,554","3,315.0",14.07
City of Berea Municipal Utility,KY,Municipal,"4,722","57,571","5,205.5",9.04
City of Bowling Green - (KY),KY,Municipal,"27,181","290,316","33,332.0",11.48
City of Frankfort - (KY),KY,Municipal,"17,200","207,471","23,295.0",11.23
City of Franklin - (KY),KY,Municipal,"4,561","54,766","7,074.0",12.92
City of Fulton - (KY),KY,Municipal,"1,188","13,639","1,855.0",13.60
City of Glasgow - (KY),KY,Municipal,"5,644","64,990","8,744.0",13.45
City of Hickman,KY,Municipal,821,"9,328","1,352.0",14.49
City of Hopkinsville,KY,Municipal,"9,832","117,129","14,675.0",12.53
City of Jellico,KY,Municipal,"1,763","22,691","2,975.0",13.11
City of Mayfield Plant Board,KY,Municipal,"4,348","45,463","6,079.0",13.37
City of Murray - (KY),KY,Municipal,"6,163","64,202","8,520.0",13.27
City of Owensboro - (KY),KY,Municipal,"23,286","214,670","28,818.6",13.42
City of Paducah - (KY),KY,Municipal,"18,863","201,834","31,394.9",15.55
City of Russellville - (KY),KY,Municipal,"3,092","37,234","4,465.0",11.99
Clark Energy Coop Inc - (KY),KY,Cooperative,"26,203","328,940","43,579.0",13.25
"Cumberland Valley Electric, Inc.",KY,Cooperative,"22,478","292,418","37,629.0",12.87
Duke Energy Kentucky,KY,Investor Owned,"139,405","1,487,303","199,940.5",13.44
Farmers Rural Electric Coop Corp - (KY),KY,Cooperative,"24,889","311,377","40,733.0",13.08
Fleming-Mason Energy Coop Inc,KY,Cooperative,"23,666","286,661","37,395.0",13.05
Gibson Electric Members Corp,KY,Cooperative,"2,527","35,374","4,716.0",13.33
Grayson Rural Electric Coop Corp,KY,Cooperative,"14,429","164,405","26,427.0",16.07
Henderson City Utility Comm,KY,Municipal,"10,320","116,150","12,587.1",10.84
Inter County Energy Coop Corp - (KY),KY,Cooperative,"26,655","350,346","48,126.0",13.74
Jackson Energy Coop Corp - (KY),KY,Cooperative,"49,423","665,206","90,862.4",13.66
Jackson Purchase Energy Corporation,KY,Cooperative,"23,979","338,928","53,021.5",15.64
Kenergy Corp,KY,Cooperative,"47,292","670,042","101,538.0",15.15
Kentucky Power Co,KY,Investor Owned,"130,852","1,858,160","279,998.0",15.07
Kentucky Utilities Co,KY,Investor Owned,"450,673","5,933,106","702,923.8",11.85
Licking Valley Rural E C C,KY,Cooperative,"16,805","186,865","25,852.0",13.83
Louisville Gas & Electric Co,KY,Investor Owned,"384,902","4,206,876","516,693.0",12.28
Madisonville Municipal Utils,KY,Municipal,"6,919","74,710","8,725.0",11.68
Meade County Rural E C C,KY,Cooperative,"29,248","341,836","48,783.4",14.27
Nolin Rural Electric Coop Corp,KY,Cooperative,"35,855","490,715","64,182.0",13.08
Owen Electric Coop Inc,KY,Cooperative,"63,984","851,113","106,790.0",12.55
Pennyrile Rural Electric Coop,KY,Cooperative,"40,645","578,172","76,104.0",13.16
Salt River Electric Coop Corp,KY,Cooperative,"53,479","770,315","83,823.1",10.88
"Shelby Energy Coop, Inc - (KY)",KY,Cooperative,"17,437","247,143","32,654.0",13.21
South Kentucky Rural E C C,KY,Cooperative,"64,877","783,246","101,187.0",12.92
