2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Adjustment 2024,AR,,"25,649","341,211","42,182.4",.
Adjustment 2024,CO,,"37,084","558,660","90,320.4",.
Adjustment 2024,DE,,"13,254","168,789","28,522.3",.
Adjustment 2024,FL,,"5,708","436,630","53,781.2",.
Adjustment 2024,GA,,"141,355","1,761,413","243,696.9",.
Adjustment 2024,IA,,"205,531","2,463,243","319,733.0",.
Adjustment 2024,ID,,"34,854","486,307","48,629.4",.
Adjustment 2024,IL,,"122,255","1,818,114","298,480.9",.
Adjustment 2024,IN,,"158,037","1,933,937","280,148.8",.
Adjustment 2024,KS,,"201,994","2,020,911","311,818.1",.
Adjustment 2024,KY,,"29,228","341,149","38,973.9",.
Adjustment 2024,LA,,"37,449","510,084","59,063.2",.
Adjustment 2024,MA,,"13,197","960,409","185,237.8",.
Adjustment 2024,ME,,"8,973","82,651","12,007.2",.
Adjustment 2024,MI,,"80,691","583,174","87,874.7",.
Adjustment 2024,MN,,"251,565","2,630,053","370,651.2",.
Adjustment 2024,MO,,"202,297","2,456,338","336,082.2",.
Adjustment 2024,MS,,"36,250","424,798","56,769.5",.
Adjustment 2024,MT,,"78,440","947,318","115,644.4",.
Adjustment 2024,NC,,"135,513","1,547,270","218,927.0",.
Adjustment 2024,ND,,"23,746","315,305","38,847.3",.
Adjustment 2024,NE,,"148,124","1,843,618","222,144.7",.
Adjustment 2024,NH,,"5,105","79,886","12,250.4",.
Adjustment 2024,NM,,"46,404","343,868","55,716.4",.
Adjustment 2024,NY,,"18,004","1,172,265","98,015.4",.
Adjustment 2024,OH,,"179,369","1,996,594","300,340.0",.
Adjustment 2024,OK,,"104,410","1,112,319","139,059.4",.
Adjustment 2024,OR,,"62,653","793,086","96,243.0",.
Adjustment 2024,PA,,"77,309","816,508","143,069.4",.
Adjustment 2024,SC,,"71,136","859,694","135,832.4",.
Adjustment 2024,SD,,"85,708","1,347,575","167,075.2",.
Adjustment 2024,TX,,"107,094","1,599,289","201,301.9",.
Adjustment 2024,UT,,"97,405","886,937","111,257.3",.
Adjustment 2024,VA,,"70,076","871,390","127,043.1",.
Adjustment 2024,VT,,"39,156","279,347","57,181.7",.
Adjustment 2024,WA,,"62,548","811,377","92,546.5",.
Adjustment 2024,WI,,"170,766","1,639,244","259,070.2",.
Adjustment 2024,WV,,"9,785","89,316","14,633.1",.
Adjustment 2024,WY,,"39,894","330,843","50,713.4",.
Short form utilities are aggregated in the state level adjustments,,,,,,
